구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
당진매립장태양광,2017-12-09,0,0,0,0,0,0,0,0,48,183,173,194,206,244,181,100,20,0,0,0,0,0,0,0
당진매립장태양광,2017-12-10,0,0,0,0,0,0,0,0,9,57,64,170,327,342,216,66,14,0,0,0,0,0,0,0
당진매립장태양광,2017-12-11,0,0,0,0,0,0,0,0,12,94,221,279,202,212,155,89,18,0,0,0,0,0,0,0
당진매립장태양광,2017-12-12,0,0,0,0,0,0,0,0,22,108,259,368,426,389,272,155,22,0,0,0,0,0,0,0
당진매립장태양광,2017-12-13,0,0,0,0,0,0,0,0,41,189,312,394,421,393,305,156,32,0,0,0,0,0,0,0
당진매립장태양광,2017-12-14,0,0,0,0,0,0,0,0,40,102,227,236,377,247,149,84,22,0,0,0,0,0,0,0
당진매립장태양광,2017-12-15,0,0,0,0,0,0,0,0,27,107,185,183,175,206,186,77,24,0,0,0,0,0,0,0
당진매립장태양광,2017-12-16,0,0,0,0,0,0,0,0,30,115,181,348,384,350,248,110,35,0,0,0,0,0,0,0
당진매립장태양광,2017-12-17,0,0,0,0,0,0,0,0,34,164,284,364,393,365,279,141,30,0,0,0,0,0,0,0
당진매립장태양광,2017-12-18,0,0,0,0,0,0,0,0,0,41,85,176,297,314,258,135,33,0,0,0,0,0,0,0
당진매립장태양광,2017-12-19,0,0,0,0,0,0,0,0,28,134,239,368,405,378,295,154,33,0,0,0,0,0,0,0
당진매립장태양광,2017-12-20,0,0,0,0,0,0,0,0,31,157,272,334,323,70,143,56,9,0,0,0,0,0,0,0
당진매립장태양광,2017-12-21,0,0,0,0,0,0,0,0,9,120,284,350,381,358,273,144,34,0,0,0,0,0,0,0
당진매립장태양광,2017-12-22,0,0,0,0,0,0,0,0,7,142,247,311,227,276,196,142,42,0,0,0,0,0,0,0
당진매립장태양광,2017-12-23,0,0,0,0,0,0,0,0,20,104,202,231,271,259,236,127,37,0,0,0,0,0,0,0
당진매립장태양광,2017-12-24,0,0,0,0,0,0,0,0,0,0,35,38,61,74,12,40,35,0,0,0,0,0,0,0
당진매립장태양광,2017-12-25,0,0,0,0,0,0,0,0,33,175,309,397,431,407,322,171,39,0,0,0,0,0,0,0
당진매립장태양광,2017-12-26,0,0,0,0,0,0,0,0,1,71,237,375,423,404,320,174,40,0,0,0,0,0,0,0
당진매립장태양광,2017-12-27,0,0,0,0,0,0,0,0,26,171,306,393,430,406,320,173,41,0,0,0,0,0,0,0
당진매립장태양광,2017-12-28,0,0,0,0,0,0,0,0,0,30,150,315,279,258,195,139,42,0,0,0,0,0,0,0
당진매립장태양광,2017-12-29,0,0,0,0,0,0,0,0,0,56,153,223,326,277,240,154,46,0,0,0,0,0,0,0
당진매립장태양광,2017-12-30,0,0,0,0,0,0,0,0,3,92,273,354,313,163,64,0,0,0,0,0,0,0,0,0
당진매립장태양광,2017-12-31,0,0,0,0,0,0,0,0,9,85,200,387,463,454,363,203,58,0,0,0,0,0,0,0
당진매립장태양광,2018-01-01,0,0,0,0,0,0,0,0,24,170,291,321,323,353,312,195,59,0,0,0,0,0,0,0
당진매립장태양광,2018-01-02,0,0,0,0,0,0,0,0,15,60,84,189,317,299,252,155,52,0,0,0,0,0,0,0
당진매립장태양광,2018-01-03,0,0,0,0,0,0,0,0,20,185,329,443,486,475,390,217,48,0,0,0,0,0,0,0
당진매립장태양광,2018-01-04,0,0,0,0,0,0,0,0,24,148,286,379,427,328,263,128,27,0,0,0,0,0,0,0
